Type,Title,Director,Casting,Country,Date Added,Rating,Duration,Genres,Description,Release Year,Imdb Score,Imdb Votes
Movie,Time Share,Sebastián Hofmann,"Luis Gerardo Méndez, Miguel Rodarte, R.J. Mitte, Cassandra Ciangherotti, Montserrat Marañon, Andrés Almeida, Emiliano Rodríguez","Mexico, Netherlands","November 30, 2018",TV-MA,96 min,"Dramas, Independent Movies, International Movies","While staying at a tropical resort, a man becomes convinced the American timeshare company running it has an evil plan to take away his loved ones.",2018,5.9,2762.0
TV Show,Bumping Mics with Jeff Ross & Dave Attell,Unknown,"Jeff Ross, Dave Attell",United States,"November 27, 2018",TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies","When Jeff Ross and Dave Attell take the stage, no one is safe. With the help of special guests, they're packing a lot of laughs into one epic weekend.",2018,7.7,1145.0
TV Show,Minecraft: Story Mode,Unknown,"Patton Oswalt, Catherine Taber, Sean Astin, Melissa Hutchison, Ashley Johnson, Matthew Mercer, Jim Meskimen, Martha Plimpton, Scott Porter, Brian Posehn, Paul Reubens, Billy West, Dave Fennoy","United States, Sweden","November 27, 2018",TV-PG,1 Season,Kids' TV,"MInecraft: Story Mode is an interactive, animated TV series from Netflix and Telltale Games. Viewers input decisions that affect the course of the story, using a remote control or computer keyboard.",2011,5.5,300.0
TV Show,Frontier,Unknown,"Jason Momoa, Landon Liboiron, Alun Armstrong, Jessica Matten, Zoe Boyle, Allan Hawco, Evan Jonigkeit, Katie McGrath",Canada,"November 23, 2018",TV-MA,3 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","The chaotic and violent struggle to control wealth and power in the North American fur trade in late 18th century Canada. Told from multiple perspectives, Frontier takes place in a world where business negotiations might be resolved with close-quarter hatchet fights, and where delicate relations between native tribes and Europeans can spark bloody conflicts.",2016,7.1,20706.0
TV Show,Fugitiva,Unknown,"Paz Vega, Julio Bracho, Arantza Ruiz, Luisa Rubino, Lander Otaola, Iván Pellicer, José Manuel Poga, Mercedes Sampietro, Charo López, Roberto Álamo, Raúl Medina, Melina Matthews, Pedro Mari Sánchez, Odiseo Bichir",Spain,"November 23, 2018",TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A woman organizes an escape plan camouflaged as a kidnapping to protect her children from her husband's enemies.,2018,5.6,658.0
TV Show,Sick Note,Unknown,"Rupert Grint, Nick Frost, Don Johnson, Lindsay Lohan, Pippa Bennett-Warner, Marama Corlett, Karl Theobald, Belinda Stewart-Wilson, Camilla Beeput, Dustin Demri-Burns, Tolu Ogunmefun",United Kingdom,"November 23, 2018",TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies","When Daniel Glass is misdiagnosed with a fatal disease he begins to notice how everyone around him treats him better. But then he finds out he was misdiagnosed by the most incompetent oncologist on Earth and now he has a big decision to make: come clean and go back to his old rubbish life, or keep pretending to be ill.",2017,6.8,7173.0
Movie,The Christmas Chronicles,Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Kimberly Williams-Paisley, Oliver Hudson, Lamorne Morris, Martin Roach",United States,"November 22, 2018",TV-PG,104 min,"Children & Family Movies, Comedies","Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas.",2018,7.0,71182.0
Movie,The Tribe,Fernando Colomo,"Paco León, Carmen Machi, Luis Bermejo, Maribel del Pino, Maite Sandoval, Arlette Torres, Marisol Aznar, María José Sarrate, Manuel Huedo, Artur Busquets",Spain,"November 21, 2018",TV-MA,91 min,"Comedies, International Movies","A cleaner woman with vocational street dancer tries to recover her long-stranded son that she gave for adoption, a former CEO who lost everything, including his memories.",2018,5.8,2627.0
TV Show,Kulipari: Dream Walker,Unknown,"Charlie Adler, Mark Hamill, Jess Harnell, Phil LaMarr, Josh Keaton, Mikey Kelley, Amy Margolis, Wendie Malick, Kevin Michael Richardson, Candi Milo, Laraine Newman",Unknown,"November 20, 2018",TV-Y7,1 Season,Kids' TV,"Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker -- leaving the village under the protection of the Kulipari youth.",2018,7.7,91.0
Movie,Puppy Star Christmas,Robert Vince,"Kaitlyn Maher, Mackenzie Sol, Makenzie Moss, David DeLuise, George Newbern, Reggie De Leon, Diedrich Bader, Chloe Coleman, Oakley Bull, Dillon Fontana, vivienne Rutherford, Tyreese Burnett","United States, Canada","November 20, 2018",PG,91 min,"Children & Family Movies, Comedies","The Pup Star family just got bigger! And the new pups: Cindy, Rosie, Charlie, and Brody will have to learn the true meaning of Christmas. When Pup Starâ€™s mean team, scheme to ruin Christmas, the pups end up in the North Pole to save Santa and the holiday spirit. Their adventure is filled with great pup-tastic songs to spread holiday cheer all year round.",2018,3.6,248.0
Movie,Sabrina,Rocky Soraya,"Luna Maya, Christian Sugiono, Sara Wijayanto, Jeremy Thomas, Richelle Georgette Skornicki, Rizky Hanggono, Asri Handayani",Indonesia,"November 20, 2018",TV-MA,114 min,"Horror Movies, International Movies","Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya plays Charlie's Pencil to summon her late mother, strange things begin to happen.",2018,4.2,1712.0
Movie,Target,Raditya Dika,"Raditya Dika, Cinta Laura Kiehl, Samuel Rizal, Willy Dozan, Abdur Arsyad, Hifdzi Khoir, Romy Rafael, Ria Ricis, Anggika Bolsterli",Indonesia,"November 20, 2018",TV-14,91 min,"Comedies, Horror Movies, International Movies","Trapped in an empty building, nine people are forced to play a lethal game. All their movements will be recorded, and only one player can survive.",2018,3.9,496.0
TV Show,The Final Table,Unknown,Andrew Knowlton,United States,"November 20, 2018",TV-PG,1 Season,Reality TV,Team of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this fast-paced competition.,2018,7.6,3989.0
Movie,Trevor Noah: Son of Patricia,David Paul Meyer,Trevor Noah,United States,"November 20, 2018",TV-MA,64 min,Stand-Up Comedy,"Trevor Noah gets out from behind the ""Daily Show"" desk and takes the stage for a stand-up special that touches on racism, immigration, camping and more.",2018,7.3,3970.0
TV Show,Eternal Love,Unknown,"Yang Mi, Mark Chao, Dilraba Dilmurat, Ken Chang, Vengo Gao, Huang Mengying",China,"November 17, 2018",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Three hundred years ago, Bai Qian stood on the Zhu Xian Terrace, turned around and jumped off without regret. Ye Hua stood by the bronze mirror to witness with his own eyes her death. Three hundred years later, in the East Sea Dragon Palace, the two meet unexpectedly. Another lifetime another world, after suffering betrayal Bai Qian no longer feels anything, yet she can't seem to comprehend Ye Hua's actions. Three lives three worlds, her and him, are they fated to love again?",2017,8.4,2214.0
